iter	Passed	Remaining
0	51	51761
1	84	42350
2	115	38256
3	144	35948
4	167	33372
5	187	31035
6	205	29194
7	222	27623
8	239	26381
9	257	25495
10	273	24555
11	289	23796
12	305	23171
13	320	22586
14	335	22022
15	348	21458
16	364	21079
17	376	20522
18	394	20358
19	408	20013
20	426	19861
21	446	19862
22	469	19957
23	487	19834
24	503	19628
25	519	19463
26	535	19310
27	552	19178
28	569	19062
29	585	18922
30	600	18777
31	616	18634
32	630	18481
33	643	18284
34	660	18215
35	676	18113
36	692	18031
37	704	17844
38	721	17778
39	736	17676
40	752	17608
41	767	17515
42	786	17511
43	802	17429
44	818	17367
45	833	17279
46	849	17230
47	866	17183
48	883	17146
49	899	17094
50	917	17066
51	932	17004
52	948	16951
53	964	16888
54	980	16844
55	997	16809
56	1012	16747
57	1026	16674
58	1039	16585
59	1056	16550
60	1069	16457
61	1085	16426
62	1101	16387
63	1119	16367
64	1133	16307
65	1149	16273
66	1164	16220
67	1181	16187
68	1200	16194
69	1217	16172
70	1232	16123
71	1248	16088
72	1263	16041
73	1278	15993
74	1294	15969
75	1311	15948
76	1327	15914
77	1343	15886
78	1360	15860
79	1391	15997
80	1418	16095
81	1445	16186
82	1465	16189
83	1483	16175
84	1499	16144
85	1516	16113
86	1530	16062
87	1547	16033
88	1562	15991
89	1580	15977
90	1596	15949
91	1612	15918
92	1628	15880
93	1645	15858
94	1660	15822
95	1675	15778
96	1691	15744
97	1705	15698
98	1720	15658
99	1731	15585
100	1748	15566
101	1763	15524
102	1780	15505
103	1797	15484
104	1815	15477
105	1828	15422
106	1845	15399
107	1861	15374
108	1877	15347
109	1892	15309
110	1910	15297
111	1924	15261
112	1942	15245
113	1956	15203
114	1971	15169
115	1985	15130
116	1999	15089
117	2011	15034
118	2031	15041
119	2045	14997
120	2059	14961
121	2075	14935
122	2089	14896
123	2104	14870
124	2122	14858
125	2136	14820
126	2151	14791
127	2169	14778
128	2184	14748
129	2197	14704
130	2207	14645
131	2226	14638
132	2239	14599
133	2256	14580
134	2270	14549
135	2284	14515
136	2298	14479
137	2311	14440
138	2328	14422
139	2340	14377
140	2354	14345
141	2371	14331
142	2385	14296
143	2400	14268
144	2415	14241
145	2431	14222
146	2444	14182
147	2455	14134
148	2471	14116
149	2486	14091
150	2502	14070
151	2517	14044
152	2533	14022
153	2549	14005
154	2565	13983
155	2579	13954
156	2592	13919
157	2609	13903
158	2625	13886
159	2645	13888
160	2663	13877
161	2680	13864
162	2698	13854
163	2716	13848
164	2732	13829
165	2749	13814
166	2767	13804
167	2783	13783
168	2799	13764
169	2813	13738
170	2830	13722
171	2846	13703
172	2864	13691
173	2879	13667
174	2896	13654
175	2911	13633
176	2927	13613
177	2942	13589
178	2957	13564
